repo,created_at,created_by,PR_id,state,merged,closed_at,merged_at
Rdatatable/data.table,2025-07-11 20:42:13+00:00,MichaelChirico,7162,open,False,,
Rdatatable/data.table,2025-07-11 18:48:09+00:00,venom1204,7161,open,False,,
Rdatatable/data.table,2025-07-11 07:18:20+00:00,MichaelChirico,7158,closed,True,2025-07-15 05:36:38+00:00,2025-07-15 05:36:38+00:00
Rdatatable/data.table,2025-07-11 04:32:50+00:00,TysonStanley,7157,closed,True,2025-07-11 16:50:06+00:00,2025-07-11 16:50:06+00:00
Rdatatable/data.table,2025-07-10 22:32:10+00:00,MichaelChirico,7156,closed,True,2025-07-15 22:03:35+00:00,2025-07-15 22:03:35+00:00
Rdatatable/data.table,2025-07-10 19:14:49+00:00,Mukulyadav2004,7155,closed,True,2025-07-10 21:30:54+00:00,2025-07-10 21:30:54+00:00
Rdatatable/data.table,2025-07-10 13:08:06+00:00,ChristianWia,7151,closed,True,2025-07-15 17:44:07+00:00,2025-07-15 17:44:07+00:00
Rdatatable/data.table,2025-07-10 07:29:32+00:00,venom1204,7150,closed,True,2025-07-11 15:49:33+00:00,2025-07-11 15:49:32+00:00
Rdatatable/data.table,2025-07-08 23:19:43+00:00,MichaelChirico,7149,closed,True,2025-07-09 01:24:52+00:00,2025-07-09 01:24:52+00:00
Rdatatable/data.table,2025-07-08 22:28:39+00:00,MichaelChirico,7148,closed,True,2025-07-23 07:47:01+00:00,2025-07-23 07:47:01+00:00
Rdatatable/data.table,2025-07-08 19:27:59+00:00,MichaelChirico,7144,closed,True,2025-07-10 16:56:34+00:00,2025-07-10 16:56:34+00:00
Rdatatable/data.table,2025-07-08 17:14:00+00:00,MichaelChirico,7143,closed,True,2025-07-08 17:29:38+00:00,2025-07-08 17:29:38+00:00
Rdatatable/data.table,2025-07-08 17:04:06+00:00,MichaelChirico,7142,closed,True,2025-07-08 17:38:29+00:00,2025-07-08 17:38:29+00:00
Rdatatable/data.table,2025-07-08 16:52:10+00:00,venom1204,7141,open,False,,
Rdatatable/data.table,2025-07-08 12:54:08+00:00,Mukulyadav2004,7139,closed,True,2025-07-15 17:09:37+00:00,2025-07-15 17:09:37+00:00
